Date,In-game Date,Activity,Season,Weather,Luck,Time Spent (in minutes),Gold on Hand,Primary Activity Gold,Non-Activity Gold,Expenses,Pickaxe,Axe,Sword,Hoe,Scythe,Pan,Rod,Tackle,Farming Lvl.,Fishing Lvl.,Mining Lvl.,Foraging Lvl.,Fighting Lvl.
1/16/26,"Day 14, Year 1",Mining,Winter,Snow,Annoyed/Mildly Perturbed,1:10:00,"38,663.00","2,410.00",0,"1,200.00",Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,10,3,6
1/17/26,"Day 15, Year 1",Mining,Winter,Sunny,Annoyed/Mildly Perturbed,4:00:00,"39,873.00","1,472.00",0,0,Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,10,3,6
1/17/26,"Day 16, Year 1",Mining,Winter,Sunny,Very Happy,6:20:00,"41,345.00","2,267.00",0,"2,625.00",Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,10,3,6
1/17/26,"Day 17, Year 1",Mining,Winter,Sunny,Annoyed/Mildly Perturbed,1:20:00,"40,987.00","1,652.00",0,"3,800.00",Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,10,3,6
1/17/26,"Day 18, Year 1",Mining,Winter,Snow,Neutral,4:10:00,"38,839.00",0,0,450,Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,10,3,6
1/17/26,"Day 19, Year 1",Mining,Winter,Sunny,Annoyed/Mildly Perturbed,5:50:00,"38,389.00","9,205.00",0,"2,400.00",Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,10,3,6
1/17/26,"Day 20, Year 1",Mining,Winter,Snow,Good Humor,7:00:00,"45,194.00","3,769.00",0,250,Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,10,3,6
1/17/26,"Day 21, Year 1",Mining,Winter,Sunny,Annoyed/Mildly Perturbed,1:20:00,"48,713.00",250,0,"3,800.00",Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,10,3,6
1/17/26,"Day 22, Year 1",Mining,Winter,Snow,Very Happy,5:40:00,"45,163.00",606,0,0,Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,10,3,6
1/17/26,"Day 23, Year 1",Mining,Winter,Snow,Annoyed/Mildly Perturbed,4:50:00,"45,769.00","1,525.00",0,0,Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,10,3,6
1/17/26,"Day 24, Year 1",Mining,Winter,Snow,Very Displeased,0:50:00,"47,294.00","1,000.00",0,"3,300.00",Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,10,3,6
1/17/26,"Day 25, Year 1",Mining,Winter,Sunny,Annoyed/Mildly Perturbed,0:00:00,"44,994.00",0,0,0,Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,10,3,6
1/17/26,"Day 26, Year 1",Mining,Winter,Sunny,Good Humor,6:50:00,"44,994.00","1,072.00",0,0,Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,10,3,6
1/17/26,"Day 27, Year 1",Mining,Winter,Snow,Neutral,7:20:00,"46,066.00","3,035.00",0,450,Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,10,3,6
1/17/26,"Day 28, Year 1",Mining,Winter,Snow,Good Humor,7:40:00,"48,651.00","5,015.00",0,0,Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,10,3,6
